Latitude,Longitude,Stop/Station Name
49.627899,6.1223279999999995,Muhlenbach. Eecher Schmelz
49.601271999999994,6.136963,Luxembourg. Gare Rocade
49.594260999999996,6.125519000000001,Gasperich. Lascombes
49.611385,6.141268,Clausen. Melusina
49.596472,6.13112,Centre. Alsace
49.629211,6.11707,Muhlenbach. Siwemuergen
49.620851,6.087998000000001,Strassen. Schafsstrachen
49.614334,6.141277,Clausen. Ste Cunégonde
49.626946000000004,6.127686,Eich. Ecole Eich
49.605219,6.140882,Verlorenkost. Lavoisier
49.624796999999994,6.09243,Reckenthal. Gäertnerei
49.603565,6.084887999999999,Merl. Op der Millen
49.592238,6.1213120000000005,Gasperich. Al Gasperich
49.607781,6.142194,Verlorenkost. Général Patton
49.611853,6.1425540000000005,Clausen. Tour Jacob
49.599511,6.137295,Bonnevoie. Rotonde
49.601713000000004,6.139480000000001,Bonnevoie. Virchow
49.593793,6.127982,Gasperich. Déportation
49.591474,6.1056349999999995,Cessange. Fischerhaff
49.611160999999996,6.143219,Cents. Kéibierg-I.N.S.
49.620896,6.139399,Kirchberg. B.E.I.
49.613606,6.143507,Clausen. Clausener Bréck
49.627565999999995,6.129933,Eich. Eecher Plaz
49.604509,6.142365,Verlorenkost. Heedekëppchen
49.590252,6.117582,Gasperich. Louis de Froment
49.619494,6.141763,Kirchberg. Philharmonie - Mudam
49.617876,6.082299,Strassen. Réimerwee
49.592059000000006,6.127039,Gasperich. Millewee
49.597659,6.1377809999999995,Bonnevoie. Léon XIII
49.591276,6.124728,Gasperich. Bei der Auer
49.589856,6.116494,Gasperich. Plantin
49.610819,6.079998000000001,Strassen. Bourmicht
49.59925,6.140091,Bonnevoie. Fraternité
49.589479,6.115011,Cessange. Rue Verte
49.589649,6.118364,Gasperich. Beethoven
49.63207,6.110489,Bambësch. Centre Sportif
49.595088,6.135839,Bonnevoie. Dernier Sol
49.628276,6.132783,Weimerskirch. Laval's Park
49.608437,6.078865,Strassen. Atrium
49.588966,6.106768,Cessange. Kierch
49.626307000000004,6.1367199999999995,Weimerskirch. Pierre-Eloi Schoué
49.619008,6.080654,Strassen. Aurélia
49.628995,6.132477,Eich. Centre Culturel
49.588238,6.111253,Cessange. Kuelebierg
49.61517,6.146580999999999,Clausen. Malakoff
49.597434,6.140683999999999,Bonnevoie. Vannérus
49.599088,6.142599,Bonnevoie. Gabriel Lippmann
49.612392,6.147525,Cents. Fort Dumoulin
49.62522,6.139695,Kirchberg. Prince Félix
49.589155,6.124261,Gasperich. Richard Wagner
49.588454,6.120782,François Hogenberg Quai 1
49.611853,6.147965,Cents. I.N.S.
49.589883,6.127857,Gasperich. Clemenceau
49.626236,6.13903,Weimerskirch. St.Vith
49.598962,6.14339,Bonnevoie. Carignan
49.600931,6.145089,Bonnevoie. Kofferfabrik
49.621741,6.08096,Strassen. Oricher-Hoehl
49.628429,6.13592,Weimerskirch. Duerf
49.603673,6.078037999999999,Helfenterbréck
49.587888,6.121294,François Hogenberg Quai 2
49.612275,6.076312000000001,Strassen. Les Thermes
49.628904999999996,6.135668,Weimerskirch. Knupp
49.618595,6.078164,Strassen. Kiem
49.598917,6.144963,Bonnevoie. Émile Duployé
49.622074,6.145368,Kirchberg. Niedergrünewald
49.604032000000004,6.1484510000000006,Hamm. Montmédy
49.605237,6.076124,Bertrange. Fleuri
49.593425,6.138904,Bonnevoie. Hippodrome
49.597910999999996,6.144451,Bonnevoie. Wisestrooss
49.587132000000004,6.103082,Cessange. Duerf
49.621453,6.078641,Strassen. Cité Pescher
49.627961,6.139507,Weimerskirch. Mäertesbur
49.586746000000005,6.121178,Gasperich. François Hogenberg
49.608886,6.150644000000001,Pulvermuhl. Hammerdällchen
49.593856,6.1409,Bonnevoie. Willibrord
49.619619,6.076573000000001,Strassen. Benelux
49.599951000000004,6.147471,Bonnevoie. Egalité
49.585846999999994,6.1070199999999994,Cessange. Tubishaff
49.620779,6.148235,Kirchberg. Europaparlament / Parlement Européen
49.603538,6.07509,Helfenterbréck. Pletzer
49.611592,6.151651,Cents. Nic Rollinger
49.598351,6.146761,Bonnevoie. Jean Jacoby
49.627107,6.142545,Kirchberg. Paul Noesen
49.594971,6.143444000000001,Bonnevoie. Demy Schlechter
49.6318,6.134563,Eich. Klinik
49.624887,6.146059999999999,Kirchberg. Jean Monnet
49.600445,6.149754,Bonnevoie. Chalop
49.594369,6.144369999999999,Bonnevoie. Pont-Remy
